"demographics","number_proportion"
"\textbf{Outcomes:}","0 (NA\%)"
"OUD (comprehensive)","72 (0.24\%)"
"OUD (ICD-10 only)","64 (0.21\%)"
"\textbf{Baseline covariates:}","0 (NA\%)"
"44 (33, 54)","44 (33, 54)"
"Sex","0 (NA\%)"
"\hspace{0.5cm}Male","15049 (48.73\%)"
"\hspace{0.5cm}Female","15832 (51.27\%)"
"Race/ethnicity:","0 (NA\%)"
"\hspace{0.5cm}American Indian or Alaska Native","440 (1.42\%)"
"\hspace{0.5cm}Asian, non-Hispanic","1569 (5.08\%)"
"\hspace{0.5cm}Black, non-Hispanic","3757 (12.17\%)"
"\hspace{0.5cm}Hawaiian or Pacific Islander","190 (0.62\%)"
"\hspace{0.5cm}Hispanic, all races","3751 (12.15\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","28 (0.09\%)"
"English primary language","27823 (90.1\%)"
"Married or partnered","2573 (8.33\%)"
"Household size:","0 (NA\%)"
"\hspace{0.5cm}2","1206 (3.91\%)"
"\hspace{0.5cm}More than 2","1548 (5.01\%)"
"Veteran status","108 (0.35\%)"
"Probable high income","454 (1.47\%)"
"Tanf benefits","1980 (6.41\%)"
"SSI benefits","152 (0.49\%)"
"Psychiatric Conditions:","0 (NA\%)"
"\hspace{0.5cm}Bipolar","685 (2.22\%)"
"\hspace{0.5cm}Anxiety","5451 (17.65\%)"
"\hspace{0.5cm}ADHD","475 (1.54\%)"
"\hspace{0.5cm}Depression","4161 (13.47\%)"
"\hspace{0.5cm}Mental illness","2194 (7.1\%)"
"\hspace{0.5cm}Mental health counseling ","2637 (8.54\%)"
"\textbf{Post-exposure confounders:}","0 (NA\%)"
"Anxiety","1830 (5.93\%)"
"Depression","1307 (4.23\%)"
"Bipolar","183 (0.59\%)"
"\textbf{Treatments:}","0 (NA\%)"
"Mental health counseling","2506 (8.12\%)"
"35.06 (20, 60)","35.06 (20, 60)"
"0.08 (0.02, 0.45)","0.08 (0.02, 0.45)"
"1 (1, 2)","1 (1, 2)"
"Tapering","5 (0.02\%)"
"Co-prescribing:","0 (NA\%)"
"\hspace{0.5cm}Benzodiazepine","494 (1.6\%)"
"\hspace{0.5cm}Stimulant","112 (0.36\%)"
"\hspace{0.5cm}Muscle relaxant","1566 (5.07\%)"
"\hspace{0.5cm}Gabapentin","1321 (4.28\%)"
"Non-opioid prescription for pain:","0 (NA\%)"
"\hspace{0.5cm}Any","14909 (48.28\%)"
"\hspace{0.5cm}Gabapentein","4367 (14.14\%)"
"\hspace{0.5cm}Other analgesics","2191 (7.09\%)"
"\hspace{0.5cm}Antidepressants","6742 (21.83\%)"
"\hspace{0.5cm}Muscle relaxants","5593 (18.11\%)"
"\hspace{0.5cm}Anti-inflammatory","8374 (27.12\%)"
"\hspace{0.5cm}Topical","814 (2.64\%)"
"\hspace{0.5cm}Benzodiazepines","2991 (9.69\%)"
"Physical therapy","5276 (17.08\%)"
"Multimodal pain treatment","5886 (19.06\%)"
"\textbf{Censoring:}","0 (NA\%)"
"Uncensored throughout entire study period","30245 (97.94\%)"
