"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","17787 (4.5\%)"
"Anti-inflammatory","190856 (47.9\%)"
"Benzodiazepine","16577 (4.2\%)"
"Chiropractic","40588 (10.2\%)"
"Gabapentin","23090 (5.8\%)"
"Intervention","8492 (2.1\%)"
"Muscle relaxant","177219 (44.5\%)"
"Massage therapy","35371 (8.9\%)"
"Physical therapy","65252 (16.4\%)"
"Steroid","60200 (15.1\%)"
"Opioid","82819 (20.8\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","53404 (13.4\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","19476 (4.9\%)"
"\hspace{0.5cm}$>50$ MME","9939 (2.5\%)"
"Other treatment","6395 (1.6\%)"
"\textbf{Outcomes (months 4-15)}","0 (NaN\%)"
"OUD or overdose by 9 months","4518 (1.7\%)"
"OUD or overdose by 15 months","4882 (2.5\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 9 months","267051 (67\%)"
"Uncensored through 15 months","194847 (48.9\%)"
